기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
33,LUPPITER(M-Kate),민간(EPC),스테이징(STG),미사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-stg-kmon-a01-new,Stop,172.25.2.13,10.230.9.43,m1-jpt-stg-kmon-a01,m1-jpt-stg-kmon-a01,centos-7.9-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,53.7 GB,-,-,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Disabled,사용안함,O,X,X,X
34,LUPPITER(M-Kate),민간(EPC),스테이징(STG),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-stg-kmon-a01-rocky,Running,172.25.2.15,10.230.13.27,m1-jpt-stg-kmon-a01-rocky,m1-jpt-stg-kmon-a01,rocky-8.10-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,"openjdk version ""17.0.11""",-,Disabled,사용안함,O,O,O,X
35,LUPPITER(M-Kate),민간(EPC),스테이징(STG),사용,목동,DX-M1,-,-,-,AP,　,m1-jpt-stg-kmon-a02-rocky,Running,172.25.2.16,10.230.13.28,m1-jpt-stg-kmon-a02-rocky,m1-jpt-stg-kmon-a02,rocky-8.10-64bit,4,4,-,-,"JAR_FILE: luppiter-web-mkate.war
Spring Boot Version: 2.7.5",-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,"openjdk version ""17.0.11""",-,Disabled,사용안함,O,O,O,X
36,LUPPITER(M-Kate),민간(EPC),스테이징(STG),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-stg-kmon-w01-new,Stop,172.25.3.11,10.230.9.41,m1-jpt-stg-kmon-w01,m1-jpt-stg-kmon-w01,centos-7.9-64bit,4,4,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,-,-,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
37,LUPPITER(M-Kate),민간(EPC),스테이징(STG),사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-stg-kmon-w01-rocky,Running,172.25.3.13,10.230.13.25,m1-jpt-stg-kmon-w01-rocky,m1-jpt-stg-kmon-w01,rocky-8.10-64bit,4,4,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
38,LUPPITER(M-Kate),민간(EPC),스테이징(STG),미사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-stg-kmon-w02-new,Stop,172.25.3.12,10.230.9.42,m1-jpt-stg-kmon-w02,m1-jpt-stg-kmon-w02,centos-7.9-64bit,4,4,-,Apache/2.4.34,-,-,-,-,HDD,53.7 GB,-,-,-,-,　,　,3.10.0-1160.71.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
39,LUPPITER(M-Kate),민간(EPC),스테이징(STG),사용,목동,DX-M1,-,-,-,WEB,　,m1-jpt-stg-kmon-w02-rocky,Running,172.25.3.14,10.230.13.26,m1-jpt-stg-kmon-w02-rocky,m1-jpt-stg-kmon-w02,rocky-8.10-64bit,4,4,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,　,　,4.18.0-553.22.1.el8_10.x86_64,-,-,-,Disabled,사용안함,O,O,O,O
40,GAIA,공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode02-m.m-pod1.mgmt-1.gov.ucloud.com,-,AP,　,ca-clb-prd-gant-e01,Running,10.48.0.129,-,ca-clb-prd-gant-e01,ca-gaia-prd-ansible-ep01,rocky-8.10-64bit,8,8,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
41,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode01-m.m-pod1.mgmt-1.gov.ucloud.com,-,AP,　,ca-jpt-prd-gzab-p01-rocky,Running,10.48.0.43,-,ca-jpt-prd-gzab-p01,ca-jpt-prd-gzab-p01,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,-,10.48.0.128,SSD,32 GB,SSD,50 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
42,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode04-m.m-pod1.mgmt-1.gov.ucloud.com,-,AP,　,ca-jpt-prd-gzab-p02-rocky,Running,10.48.0.46,-,ca-jpt-prd-gzab-p02,ca-jpt-prd-gzab-p02,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,-,-,SSD,32 GB,SSD,50 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
43,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode03-m.m-pod1.mgmt-1.gov.ucloud.com,-,AP,　,ca-jpt-prd-gzab-p03-rocky,Running,10.48.0.47,-,ca-jpt-prd-gzab-p03,ca-jpt-prd-gzab-p03,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,-,10.48.0.130,SSD,32 GB,SSD,50 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
44,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode04-m.m-pod1.mgmt-1.gov.ucloud.com,-,AP,　,ca-jpt-prd-gzab-p04-rocky,Running,10.48.0.48,-,ca-jpt-prd-gzab-p04,ca-jpt-prd-gzab-p04,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,-,-,-,SSD,32 GB,SSD,50 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
45,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode02-m.m-pod1.mgmt-1.gov.ucloud.com,-,DB,　,ca-jpt-prd-gzab-pd01-new,Running,10.48.0.60,-,ca-jpt-prd-gzab-pd01,ca-jpt-prd-gzab-pd01,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,-,-,10.48.0.53,SSD,32 GB,SSD,"20 GB
1 GB
150 GB",-,-,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
46,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode01-m.m-pod1.mgmt-1.gov.ucloud.com,-,DB,　,ca-jpt-prd-gzab-pd01-rocky,Stop,10.48.0.49,-,ca-jpt-prd-gzab-pd01,ca-jpt-prd-gzab-pd01,rocky-8.10-64bit,8,16,PostgreSQL 13.5,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
1 GB
150 GB",-,-,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
47,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode01-m.m-pod1.mgmt-1.gov.ucloud.com,-,DB,　,ca-jpt-prd-gzab-pd02-new,Running,10.48.0.61,-,ca-jpt-prd-gzab-pd02-new,ca-jpt-prd-gzab-pd02,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
1 GB
150 GB",-,-,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
48,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,천안,ECLS-A-G-MGMT,gcloud mgmt pod,cnode02-m.m-pod1.mgmt-1.gov.ucloud.com,-,DB,　,ca-jpt-prd-gzab-pd02-rocky,Stop,10.48.0.54,-,ca-jpt-prd-gzab-pd02,ca-jpt-prd-gzab-pd02,rocky-8.10-64bit,8,16,PostgreSQL 13.5,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
1 GB
150 GB",-,-,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
49,CMDB,민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode07,10.2.7.7,DB,　,m1-clb-prd-inv-d01,Running,10.2.14.173,-,m1-clb-prd-inv-d01,m1-clb-prd-inv-d01,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.2.8.112,-,-,SSD,34.4 GB,SSD,"21.5 GB
21.5 GB
21.5 GB",ISCSI,"161.1 GB
322.2 GB",　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
50,LUPPITER(Topology),민간(EPC),운영(PRD),미사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode06,10.2.7.6,AP,　,m1-clb-prd-topo-a01,Running,10.2.14.172,-,m1-clb-prd-topo-a01,m1-clb-prd-topo-a01,centos-7.9-64bit,4,8,-,-,-,-,-,-,SSD,34.4 GB,SSD,289.9 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,O,X
